section,pii_type,metric,value,notes
release,ALL,total_candidates,2316,All centralized detections
release,ALL,unresolved_review_items,0,Must be zero for final release
release,ALL,release_gate_passed,true,Review-completion gate
decision_status,ALL,approved,281,Reviewed candidate count
decision_status,ALL,auto_approved,289,Reviewed candidate count
decision_status,ALL,rejected_as_non_pii,1746,Reviewed candidate count
candidate_type,AADHAAR,candidate_count,2,Detected candidate count
candidate_type,ADDRESS,candidate_count,19,Detected candidate count
candidate_type,BIOMETRIC,candidate_count,2,Detected candidate count
candidate_type,CIN,candidate_count,9,Detected candidate count
candidate_type,COMPANY,candidate_count,1959,Detected candidate count
candidate_type,DOB,candidate_count,2,Detected candidate count
candidate_type,EMAIL,candidate_count,50,Detected candidate count
candidate_type,PAN,candidate_count,1,Detected candidate count
candidate_type,PERSON,candidate_count,236,Detected candidate count
candidate_type,PHONE,candidate_count,34,Detected candidate count
candidate_type,QR_CODE,candidate_count,2,Detected candidate count
